algorithm,dataset,attack,evaluations,indicator,value,dir
nevonas,cifar10,FGSM,40,hv,143481.25070581457,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,40,r2,0.16735335791454659,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,40,hv_2obj,48.46922247841656,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,80,hv,143708.4553433771,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,80,r2,0.16692055552503582,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,80,hv_2obj,48.54387881257112,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,120,hv,144578.0891782195,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,120,r2,0.16614165003260575,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,120,hv_2obj,48.67330948633438,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,160,hv,145388.2006114722,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,160,r2,0.16474616080428628,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,160,hv_2obj,48.93857981383381,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,200,hv,145740.88906625618,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,200,r2,0.16406772454538585,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,200,hv_2obj,49.057094555744534,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,240,hv,145823.60585817054,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,240,r2,0.1638816619520576,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,240,hv_2obj,49.084800834553874,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,280,hv,146533.44366950667,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,280,r2,0.16272770231601325,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,280,hv_2obj,49.296343901707054,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,320,hv,146848.3107331064,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,320,r2,0.16213221054350588,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,320,hv_2obj,49.40443294044278,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,360,hv,147289.86743401876,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,360,r2,0.16152639132089397,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,360,hv_2obj,49.50426636522635,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,400,hv,147566.69596450508,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,400,r2,0.16103679041449784,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,400,hv_2obj,49.59495359853312,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,440,hv,148168.5986093172,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,440,r2,0.1601745437699996,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,440,hv_2obj,49.75318871182621,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,480,hv,148407.61210011545,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,480,r2,0.15999234971449972,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,480,hv_2obj,49.78302029755858,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,520,hv,148750.13643711107,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,520,r2,0.1593609839857581,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,520,hv_2obj,49.898805552084156,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,560,hv,148884.5619520246,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,560,r2,0.15909339823109908,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,560,hv_2obj,49.94421922704745,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,600,hv,149090.03579453597,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,600,r2,0.1587733288303101,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,600,hv_2obj,50.011173189385936,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,640,hv,149297.42356419977,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,640,r2,0.15835649141454222,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,640,hv_2obj,50.078809531274594,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,680,hv,149388.02123270778,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,680,r2,0.15815766406092321,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,680,hv_2obj,50.10949170278898,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,720,hv,149555.93615895545,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,720,r2,0.15786179671712353,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,720,hv_2obj,50.16546677815219,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,760,hv,149858.09355888335,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,760,r2,0.15743665826754114,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,760,hv_2obj,50.243921486219705,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,800,hv,150030.95526760275,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,800,r2,0.15710379789795356,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,800,hv_2obj,50.301827139474405,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,840,hv,150146.72459643875,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,840,r2,0.1569276540474271,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,840,hv_2obj,50.339326923842684,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,880,hv,150424.80478084963,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,880,r2,0.15645671158273536,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,880,hv_2obj,50.432950037137324,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,920,hv,150483.2802001072,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,920,r2,0.15632739687082928,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,920,hv_2obj,50.45262153881767,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,960,hv,150777.04851985403,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,960,r2,0.15596733726299,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,960,hv_2obj,50.52838494456451,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1000,hv,150947.83864364916,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1000,r2,0.15562144015349838,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1000,hv_2obj,50.58566527835409,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1040,hv,150972.7235632709,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1040,r2,0.15556788197610605,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1040,hv_2obj,50.593961545580036,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1080,hv,151020.2854695739,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1080,r2,0.15547491047140022,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1080,hv_2obj,50.6093887116387,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1120,hv,151210.53304174368,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1120,r2,0.15509958349987718,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1120,hv_2obj,50.67360770942564,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1160,hv,151212.60152141715,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1160,r2,0.15509958349987718,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1160,hv_2obj,50.67389928627107,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1200,hv,151556.52098391426,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1200,r2,0.15498637515800734,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1200,hv_2obj,50.69286534096772,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1240,hv,151804.6627704944,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1240,r2,0.1545211837255581,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,1240,hv_2obj,50.77638494635679,search-S1-20260919-135043-cifar10
nevonas,cifar10,FGSM,40,hv,143352.66330852266,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,40,r2,0.16777683141107808,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,40,hv_2obj,48.42284933850961,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,80,hv,143611.04393969537,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,80,r2,0.16724692180166673,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,80,hv_2obj,48.511387161621705,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,120,hv,144301.20871576213,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,120,r2,0.16609333326698308,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,120,hv_2obj,48.713203851120625,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,160,hv,144397.25992304878,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,160,r2,0.16595239064247558,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,160,hv_2obj,48.74347406176633,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,200,hv,144871.56902142253,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,200,r2,0.1651604068471207,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,200,hv_2obj,48.87851200441951,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,240,hv,145241.95371757823,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,240,r2,0.16453288118937942,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,240,hv_2obj,49.00159007305043,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,280,hv,145518.27036700989,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,280,r2,0.1639060692420228,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,280,hv_2obj,49.094749719149576,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,320,hv,145958.76064058684,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,320,r2,0.1630506203112056,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,320,hv_2obj,49.2462633149838,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,360,hv,146124.87243725103,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,360,r2,0.16280625545378477,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,360,hv_2obj,49.29796919198972,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,400,hv,146630.84609735338,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,400,r2,0.16208081018317713,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,400,hv_2obj,49.41853227411427,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,440,hv,146758.8129367796,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,440,r2,0.16183826172007235,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,440,hv_2obj,49.460519111287155,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,480,hv,147359.69663649495,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,480,r2,0.16078816930916254,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,480,hv_2obj,49.656155726840076,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,520,hv,147365.19531010906,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,520,r2,0.16078816930916254,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,520,hv_2obj,49.656702659838004,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,560,hv,147397.58204291578,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,560,r2,0.1607168077663874,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,560,hv_2obj,49.667695943737705,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,600,hv,147859.59073173985,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,600,r2,0.16040886127920867,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,600,hv_2obj,49.724087214780624,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,640,hv,148065.61170711747,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,640,r2,0.16005022510316833,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,640,hv_2obj,49.79075551450518,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,680,hv,148185.66522346536,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,680,r2,0.15982975098782526,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,680,hv_2obj,49.831799344150824,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,720,hv,148470.14761408226,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,720,r2,0.1592050992574727,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,720,hv_2obj,49.93006197800293,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,760,hv,148768.77362062802,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,760,r2,0.15870303349755693,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,760,hv_2obj,50.03065467430292,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,800,hv,148837.95810929185,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,800,r2,0.15856353415770197,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,800,hv_2obj,50.052033484209666,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,840,hv,149045.13202660906,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,840,r2,0.1582300508426795,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,840,hv_2obj,50.12129563803751,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,880,hv,149098.50147295254,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,880,r2,0.15812104666479881,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,880,hv_2obj,50.13806656740046,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,920,hv,149222.22700570102,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,920,r2,0.15801338521785016,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,920,hv_2obj,50.15436210902717,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,960,hv,149665.77561682244,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,960,r2,0.15742858907171411,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,960,hv_2obj,50.257721931936466,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1000,hv,149742.1485249016,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1000,r2,0.157273171690462,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1000,hv_2obj,50.28162587885847,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1040,hv,149780.65835634072,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1040,r2,0.15718878878522408,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1040,hv_2obj,50.2945002669396,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1080,hv,150013.9258082801,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1080,r2,0.15681344685830206,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1080,hv_2obj,50.3730501683294,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1120,hv,150118.71534001318,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1120,r2,0.1566468208261054,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1120,hv_2obj,50.40830683240536,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1160,hv,150216.88954205834,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1160,r2,0.15647775493573216,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1160,hv_2obj,50.44022819268013,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1200,hv,150504.00224227188,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1200,r2,0.15622081584161476,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1200,hv_2obj,50.490544267601194,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1240,hv,150668.33744521718,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1240,r2,0.1558447888418441,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,1240,hv_2obj,50.547469819774115,search-S1-20260920-010145-cifar10
nevonas,cifar10,FGSM,40,hv,142558.0827221025,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,40,r2,0.16923107946308683,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,40,hv_2obj,48.15497508195581,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,80,hv,142704.79546617655,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,80,r2,0.16891092547394254,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,80,hv_2obj,48.20322398011194,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,120,hv,143166.75804457068,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,120,r2,0.1680731647655349,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,120,hv_2obj,48.36124317766374,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,160,hv,143711.2367755126,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,160,r2,0.1669835287846801,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,160,hv_2obj,48.54407690894499,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,200,hv,144135.13228909805,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,200,r2,0.16618290632996408,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,200,hv_2obj,48.688700250964374,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,240,hv,144635.5776874018,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,240,r2,0.1656642808723235,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,240,hv_2obj,48.78399993688735,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,280,hv,144937.20351245996,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,280,r2,0.16506932079052233,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,280,hv_2obj,48.88590670117159,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,320,hv,145108.75860739977,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,320,r2,0.1647461741807592,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,320,hv_2obj,48.94305117207841,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,360,hv,146064.72580385295,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,360,r2,0.16397840983843787,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,360,hv_2obj,49.091572553728284,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,400,hv,146413.23772406852,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,400,r2,0.16324297797840095,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,400,hv_2obj,49.2111506324491,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,440,hv,146738.2772114434,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,440,r2,0.1626255128026747,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,440,hv_2obj,49.32054961355196,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,480,hv,147394.9719558198,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,480,r2,0.16209084710289798,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,480,hv_2obj,49.41555575648117,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,520,hv,147667.5452626964,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,520,r2,0.1615705939916281,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,520,hv_2obj,49.50726753629028,search-S1-20260920-120324-cifar10
nevonas,cifar10,FGSM,560,hv,147785.22047997132,search-S1-20260920-120324-cifar10
