algorithm,dataset,attack,evaluations,indicator,value,dir
moead,cifar10,FGSM,40,hv,151132.09147103992,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,40,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,40,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,80,hv,151513.79312600748,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,80,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,80,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,120,hv,151514.1815578841,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,120,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,120,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,160,hv,152079.63798887873,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,160,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,160,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,200,hv,152080.0956535895,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,200,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,200,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,240,hv,152080.0956535895,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,240,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,240,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,280,hv,152080.0956535895,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,280,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,280,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,320,hv,152080.0956535895,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,320,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,320,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,360,hv,152080.0956535895,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,360,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,360,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,400,hv,152080.0956535895,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,400,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,400,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,440,hv,152080.20144105153,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,440,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,440,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,480,hv,152080.30976947228,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,480,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,480,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,520,hv,152080.35524284627,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,520,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,520,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
