algorithm,dataset,attack,evaluations,indicator,value,dir
nsga-net,cifar10,FGSM,40,hv,149821.2914988057,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,40,r2,0.1519753493360762,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,40,hv_2obj,51.08529410694413,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,80,hv,150465.91712353678,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,80,r2,0.1519753493360762,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,80,hv_2obj,51.08529410694413,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,120,hv,151891.1544230344,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,120,r2,0.14984799248818223,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,120,hv_2obj,51.4029881132822,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,160,hv,151928.40735133938,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,160,r2,0.14984799248818223,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,160,hv_2obj,51.4029881132822,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,200,hv,153127.65053777592,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,200,r2,0.1480742939590377,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,200,hv_2obj,51.78650753028131,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,240,hv,153603.63938725195,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,240,r2,0.1480742939590377,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,240,hv_2obj,51.78650753028131,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,280,hv,153849.5686947606,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,280,r2,0.1477926540716283,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,280,hv_2obj,51.8290289314222,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,320,hv,153852.494096422,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,320,r2,0.1477926540716283,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,320,hv_2obj,51.82919817929669,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,360,hv,154160.64245863046,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,360,r2,0.1477926540716283,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,360,hv_2obj,51.82919817929669,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,400,hv,154347.06943066244,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,400,r2,0.14760463280598807,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,400,hv_2obj,51.857750805323505,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,440,hv,154430.46623603182,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,440,r2,0.14760463280598807,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,440,hv_2obj,51.857750805323505,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,480,hv,156120.57419623414,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,480,r2,0.14455851581191975,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,480,hv_2obj,52.37667371994889,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,520,hv,156127.6301474937,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,520,r2,0.14455851581191975,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,520,hv_2obj,52.37795615365669,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,560,hv,156129.14448513853,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,560,r2,0.14455851581191975,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,560,hv_2obj,52.37795615365669,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,600,hv,156954.4733366675,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,600,r2,0.1436240410389461,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,600,hv_2obj,52.519547498296006,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,640,hv,156966.07497639777,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,640,r2,0.1436240410389461,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,640,hv_2obj,52.519547498296006,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,680,hv,157137.86151483122,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,680,r2,0.1433544435612816,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,680,hv_2obj,52.577269060242024,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,720,hv,157415.30686552633,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,720,r2,0.14275752572774808,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,720,hv_2obj,52.675061953066205,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,760,hv,157918.3111180312,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,760,r2,0.14196159155991675,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,760,hv_2obj,52.84765019679103,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,800,hv,157923.21154119793,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,800,r2,0.14196159155991675,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,800,hv_2obj,52.84765019679103,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,840,hv,157927.33873845,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,840,r2,0.14196159155991675,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,840,hv_2obj,52.84765019679103,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,880,hv,158027.509947685,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,880,r2,0.14196159155991675,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,880,hv_2obj,52.84765019679103,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,920,hv,158031.40711947955,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,920,r2,0.14196159155991675,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,920,hv_2obj,52.84765019679103,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,960,hv,158356.6670161498,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,960,r2,0.14143246428771966,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,960,hv_2obj,52.960977043187,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1000,hv,158358.0495635913,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1000,r2,0.14143246428771966,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1000,hv_2obj,52.960977043187,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1040,hv,158358.98764948547,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1040,r2,0.14143246428771966,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1040,hv_2obj,52.960977043187,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1080,hv,158909.47096626816,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1080,r2,0.14016239294970106,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1080,hv_2obj,53.15351764602897,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1120,hv,158909.6954136022,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1120,r2,0.14016239294970106,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1120,hv_2obj,53.15351764602897,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1160,hv,158912.94931613872,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1160,r2,0.14016239294970106,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1160,hv_2obj,53.15351764602897,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1200,hv,158912.9525570463,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1200,r2,0.14016239294970106,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1200,hv_2obj,53.15351764602897,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1240,hv,158912.96084042557,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1240,r2,0.14016239294970106,search-NSGA-Net-micro-20260906-232401
nsga-net,cifar10,FGSM,1240,hv_2obj,53.15351764602897,search-NSGA-Net-micro-20260906-232401
